trial,target_x,target_y,target_z,target_timecourse,prime_x,prime_y,prime_z,prime_timecourse,pas_x,pas_y,pas_z,pas_timecourse
1,0.0824163348697021,-0.128285538349553,0.319358342763703,783178.106848942,0.0814052722830331,-0.128814987041981,0.320414673336783,783189.176936336,0.0791090806716092,-0.128891308121176,0.31960154738243,783200.227064373
1,0.0823768834420366,-0.128283699373278,0.319374234879105,783178.116780297,0.0813939952592381,-0.128810972933106,0.320409904365265,783189.196982647,0.0791252632402604,-0.128859435438317,0.319577850773484,783200.237128583
1,0.0823578579400937,-0.128332776542911,0.319371137550742,783178.126816567,0.0813827928529934,-0.128809717315386,0.320409769807348,783189.206961328,0.0791011479616013,-0.128983524023499,0.319584777737257,783200.247145751
1,0.0823339020592104,-0.12833641062616,0.319372410439433,783178.136794677,0.0813842869481782,-0.128840607232035,0.320412798426671,783189.216968803,0.0791031935820274,-0.128846984489067,0.319549853992498,783200.257107041
1,0.082296521222208,-0.12834042195642,0.319370673510284,783178.146793599,0.0813792170342099,-0.128815674312383,0.320411238321701,783189.226989678,0.0794468320302503,-0.129029437103607,0.319672062331762,783200.26708287
1,0.0823051992249559,-0.128353374097564,0.319374641320598,783178.156822172,0.0813661206794135,-0.12882179484837,0.320411960341069,783189.236914475,0.0794619560093164,-0.12901047272763,0.319685943665007,783200.277072099
1,0.0823068713655354,-0.128345879699089,0.319391861716001,783178.166787453,0.0813499336068239,-0.128843643810253,0.320409469008031,783189.246940481,0.0793448209166585,-0.128943886592216,0.319665816055918,783200.287062184
1,0.0823115872456967,-0.12832552001606,0.319413708204587,783178.17681517,0.0813443401435101,-0.128858590215607,0.320411778273887,783189.256937408,0.079486628598589,-0.12897034903179,0.319710663776674,783200.297077071
1,0.0823244764193986,-0.128303306664264,0.319426808060314,783178.186796701,0.0813409323732576,-0.128870327808045,0.32040421240933,783189.266940037,0.0794509798089773,-0.129015172567685,0.319702081385159,783200.307068581
1,0.0823289608572553,-0.128308770194857,0.319436729930565,783178.19683012,0.081314695137267,-0.128810045899172,0.320399985964106,783189.276934112,0.0793554552107315,-0.129012180454058,0.319665143373905,783200.317077767
1,0.0823256663624524,-0.128312357242071,0.319442378097717,783178.206823911,0.081314565918249,-0.128820992125446,0.320393641077347,783189.286930184,0.0793572995371744,-0.129011259395102,0.31966869355639,783200.327040482
1,0.0823252897839974,-0.128294199254675,0.319441796158082,783178.216852768,0.0813212775736881,-0.128824522046358,0.320377731346584,783189.296941365,0.0794148378377585,-0.129041191384337,0.319679705974275,783200.337077893
1,0.0823256315655009,-0.12830256929842,0.319434860865092,783178.226820615,0.081318921447944,-0.128829793333388,0.320377176558072,783189.306940573,0.0793949336281015,-0.129004621628019,0.319674574431578,783200.347069402
1,0.0823168877823125,-0.128294182950614,0.319438303164483,783178.23685717,0.0813168917601146,-0.128822044849909,0.320373731320218,783189.316976273,0.0793882717462495,-0.129034212566013,0.319664086735136,783200.357062908
1,0.0823221059713481,-0.128286758929939,0.319445691176545,783178.2468789,0.0813207543435054,-0.128805675969596,0.320363951596502,783189.326954098,0.0793813102185378,-0.129039783926953,0.319651932874484,783200.367080076
1,0.0823002996151176,-0.128288620591295,0.319444854752655,783178.256849313,0.0813172771595609,-0.128805387333893,0.320362480006053,783189.336941331,0.0793609825501542,-0.129038329236514,0.319634326705293,783200.377089262
1,0.0822629819901028,-0.128278221797616,0.319447885804507,783178.266774966,0.0813928852379747,-0.128831688418981,0.320356211343452,783189.34692942,0.0793302225477283,-0.129009096309054,0.319618626133355,783200.387095882
1,0.0822560452210294,-0.128326447145753,0.3194487515741,783178.276804393,0.0813702574044611,-0.128919048895614,0.320391518031619,783189.356950009,0.0793057606711397,-0.12901892471048,0.319595005763936,783200.397055176
1,0.0822406047892251,-0.128316658839076,0.319449733199533,783178.286811583,0.0812749825392886,-0.128882595232182,0.320341408673701,783189.366963757,0.0792935396769822,-0.128984165998018,0.319584497515275,783200.40708717
1,0.0821621229969692,-0.128375368426606,0.319444771503172,783178.296817633,0.0814222310783643,-0.128814319359133,0.320431415300839,783189.376929608,0.0792685448491424,-0.128959152498917,0.3195778042199,783200.417062429
1,0.0821136008390523,-0.128366483567292,0.319439746673191,783178.306797169,0.0814628428430523,-0.128792743245258,0.320468761040455,783189.386941645,0.079210177194887,-0.12891326828222,0.319559577111505,783200.427082733
1,0.0820796355640571,-0.128405574007708,0.319434584090231,783178.316829448,0.0814429177541728,-0.128829180706699,0.320451878572463,783189.396945414,0.0792172251450355,-0.12891909070109,0.319534314360347,783200.437091634
1,0.0820312770516032,-0.128415667037738,0.319443391548917,783178.326814115,0.0814683700496053,-0.128774853061204,0.320475813995026,783189.406963723,0.0792912054169346,-0.128968244979064,0.319590989355375,783200.447080863
1,0.0819851012812242,-0.128423627540154,0.319448905536972,783178.336803344,0.0814459215208618,-0.12877436765066,0.320478029369452,783189.416992295,0.0794167016715081,-0.129086038352277,0.319687332503195,783200.457045289
1,0.0819299347745949,-0.128445651298321,0.319468859940841,783178.34681139,0.0814552981228623,-0.12879414740496,0.320465379291848,783189.426936479,0.0794852141036676,-0.129063968793557,0.31972600520187,783200.467074146
1,0.0818985608112264,-0.128437294418189,0.319487747803009,783178.356847945,0.0814546307070919,-0.1287699715353,0.32045970427442,783189.436937967,0.0794491119980282,-0.129015210179705,0.319691803586414,783200.477057673
1,0.0818988954832083,-0.128456610446087,0.319509523387617,783178.366804388,0.0814174170501576,-0.12874673276146,0.320452641112857,783189.446982505,0.0794433108165991,-0.129008072033628,0.319705325024695,783200.487080829
